,id
0,342928805
1,1059745710
2,50950719
3,155814794
4,2593366721
5,1000915155449012224
6,205887871
7,48302030
8,19113435
9,47921212
10,24382468
11,444528800
12,219017382
13,21675256
14,14346260
15,108668795
16,1174084522406744064
17,18213483
18,422649641
19,771682508471672832
20,325871209
21,1263704074408488961
22,19251086
23,8036392
24,219858982
25,892149131464118273
26,106763876
27,934174143939055617
28,1170411750841176064
29,2234215035
30,1163493603093688321
31,303696464
32,3295706113
33,1106035170379878400
34,3306013083
35,23208115
36,733010066018705408
37,1198159664
38,19568034
39,18331294
40,2223592112
41,190018248
42,404512803
43,1183426984220610560
44,1166898602733494272
45,3227148840
46,1248996730940448774
47,7587032
48,82816693
49,1173883826012971008
50,1197815664829796352
51,1341913034
52,17844280
53,6467332
54,14224719
55,83689988
56,143388683
57,794165202
58,783114191460704256
59,821668846826356736
60,1870179554
61,1639530362
62,21771755
63,25796143
64,44837987
65,917702559049039872
66,113831577
67,1578151
68,492256905
69,225265639
70,3131144855
71,4618597162
72,214061698
73,837949081
74,48645368
75,254895353
76,921842109082083328
77,1449728766
78,914877149164789760
79,93069110
80,89887215
81,976995099170062338
82,14216123
83,778882057
84,29501253
85,939091
86,15808765
87,30354991
88,19568591
89,22799750
90,16051471
91,227837742
92,69181624
93,41814169
94,59157393
95,17006157
96,16017475
97,18622869
98,18753325
99,1204091324057571330
100,72583136
101,806081867250339840
102,14100619
103,137450696
104,27029537
105,880412538625810432
106,40100270
107,615723
108,20913353
109,1239332857807384576
110,828421825122103296
111,840236394865930240
112,872148729184362497
113,114908717
114,1069024241591365632
115,17134268
116,86141342
117,71294756
118,22650211
119,7313362
120,16815644
121,15754281
122,13850422
123,2768501
124,1430609060
125,2423290220
126,3177989550
127,104388107
128,156653779
129,167002743
130,18426419
131,14649213
132,14499829
133,104099417
134,27355725
135,17207243
136,705438970277040128
137,1094950711832518657
138,162982916
139,41784892
140,70897376
141,8017582
142,14348157
143,804605049859145728
144,381589648
145,204785985
146,185585867
147,104608458
148,38635618
149,1702057538
150,606360927
151,893616965503246336
152,3384104129
153,275085591
154,61755126
155,920778296
156,20543416
157,87416722
158,1181954491706265600
159,1010972484
160,1166036397494419457
161,43120811
162,3400459694
163,2833923434
164,95640686
165,21021784
166,1339488762
167,246188086
168,1678851919
169,2609395315
170,104349985
171,1006419421244678144
172,39920637
173,1025522203
174,814432960677965825
175,1170735702939561984
176,2685365896
177,1016999096220037121
178,1039878498356264960
179,2760484711
180,2788023241
181,1169077970729783296
182,146884481
183,252884794
184,1048214603077808128
185,3069292650
186,1905952992
187,213559194
188,71172156
189,3283398913
190,1032425815
191,2834981677
192,108352527
193,620021507
194,196324920
195,317729273
196,31957479
197,1163666991393202176
198,146449017
199,86902774
200,20986375
201,735811158469423105
202,99046264
203,829442994
204,36906151
205,326625501
206,1199869885
207,96714995
208,1143446245429501952
209,74418756
210,2838238556
211,1152774186793746432
212,2814061220
213,875741489040678912
214,1058790789893906432
215,45808079
216,211479919
217,717048221592227840
218,1038841076
219,92450951
220,6440792
221,3204731
222,70096587
223,15879443
224,279504575
225,23922797
226,22910230
227,14976599
228,1141725083099992064
229,23173979
230,1138388026332209152
231,12876222
232,468035482
233,2651385907
234,14780660
235,59393368
236,18798768
237,47936893
238,2388765331
239,121328898
240,2788078109
241,981748794
242,2822784074
243,2793242592
244,1135626132097683457
245,283035531
246,17137628
247,64643056
248,14159148
249,4970411
250,4855801089
251,624839804
252,2372164754
253,37303498
254,258157507
255,1112909627883085824
256,1362145075
257,1038896454
258,277431360
259,144615713
260,27284203
261,3285866094
262,2433304310
263,1147396339
264,1097907337753313280
265,18139220
266,552725668
267,18350619
268,1057237461007396864
269,245681964
270,9549942
271,24941044
272,17198424
273,807442387
274,474983217
275,104257356
276,774195721000087552
277,962607038294515712
278,21344507
279,436429668
280,73758044
281,14361155
282,1081645930502414338
283,123604038
284,1079776144524754944
285,800970574684160000
286,1010165995476905985
287,3071162052
288,303862998
289,338736117
290,285051289
291,147491390
292,138141969
293,17989166
294,291612412
295,515590397
296,2170377140
297,2428796856
298,130743819
299,869231
300,7424642
301,44078873
302,107657781
303,563455743
304,25142349
305,111504976
306,38400130
307,1642135962
308,138203134
309,112628982
310,87775422
311,492221762
312,487118986
313,629133
314,1115874631
315,269399083
316,17712324
317,255659267
318,211583400
319,137223549
320,846487933
321,1005358920
322,2811559122
323,34615731
324,202890266
325,48230926
326,1512021254
327,89421672
328,370807603
329,2266309700
330,34616510
331,2991327202
332,41330290
333,14529929
334,22771961
335,1633723646
336,15745368
337,18916432
338,11134252
339,14377605
340,43963249
341,73238146
342,15764644
343,357606935
344,216776631
345,29442313
346,970207298
347,19046425
348,909102066
349,855202659107618816
350,266008957
351,58743813
352,266562691
353,28561905
354,21702666
355,127684464
356,197126134
357,589561485
358,14754055
359,213795411
360,33750798
361,35658347
362,793033082
363,15085889
364,564749266
365,44438256
366,31066684
367,31058145
368,19397942
369,288724667
370,14700117
371,66967746
372,137857547
373,818876014390603776
374,18992816
375,47991586
376,16042794
377,218325695
378,29547260
379,863475585095479298
380,562944530
381,35622743
382,25049056
383,804038731648876544
384,14577594
385,524823945
386,822215673812119553
387,2248872301
388,115749048
389,785470710
390,23848659
391,352093320
392,17469289
393,21802625
394,23967604
395,317655205
396,1259475739
397,2359926157
398,544591363
399,22516489
400,30683804
401,87098546
402,3342909449
403,834081571493785600
404,414359892
405,260904398
406,824126001936474113
407,824494641890394114
408,825153022653128704
409,824467746436120576
410,824473943931293697
411,825043982006759428
412,19867003
413,35069260
414,202276242
415,21813904
416,821511862881845248
417,823367015830323201
418,3309726309
419,1656657097
420,1400007925
421,620571475
422,104569775
423,826309249315725312
424,1305398258
425,119099353
426,814103950404239360
427,315907634
428,281677896
429,1546241108
430,5813232
431,15823646
432,369602017
433,317843571
434,13393052
