,id
0,2811559122
1,385743708
2,2280105878
3,973336646
4,594220452
5,4887254423
6,20581857
7,849939533147906048
8,145423700
9,79923522
10,819923494733574145
11,110587855
12,88975905
13,16299275
14,15691038
15,2999703069
16,370871493
17,743569320790401024
18,780498564661252102
19,3395550017
20,20225875
21,3806553495
22,342924593
23,251433567
24,56510427
25,3034892963
26,723515463750299648
27,537645111
28,1630896181
29,15995155
30,23818581
31,765149955396734976
32,87818409
33,14293310
34,2467791
35,428333
36,742143
37,5402612
38,759251
39,3108351
40,807095
41,51241574
42,1652541
43,40816180
