,id
0,783114191460704256
1,38338503
2,1170220222172655624
3,1178466684094619648
4,1263400281112342529
5,3193620241
6,988573326376427520
7,1163085970901630977
8,70096587
9,1256809449341124608
10,1048452126467182594
11,969437425
12,1174084522406744064
13,1377451009
14,155814794
15,17556049
16,1113611717924155393
17,717048221592227840
18,213559194
19,735811158469423105
20,1339488762
21,814432960677965825
22,4926042247
23,1163493603093688321
24,317729273
25,943109695534854145
26,1169241829885132801
27,18798768
28,1199074513
29,74418756
30,929768106867679232
31,25073877
32,330446733
33,2493199232
34,4796939849
35,950341134
36,2841131745
37,487563142
38,620034505
39,753612101910945793
40,2759422283
41,1673820865
42,142730813
43,543582873
44,2255036665
45,2987970473
46,533085085
47,2712259023
48,191985864
49,1934413398
50,155659213
51,745002644
52,92450951
53,3071162052
54,343627165
55,19596687
56,955229336
57,1073336054
58,230845588
59,213610209
60,105297123
61,41147159
62,783214
63,263099844
64,243175199
65,210933449
66,393028587
67,34613288
